id,painting_unique_id,featured_story_image,featured_manuscript_image,recension_id,total_manuscripts_with_this_story_id_illustrated,total_story_id_paintings,total_manuscript_paintings,manuscript_link,image_link,non_iiif_image_link,painting_number,painting_folio,painting_scan,number_of_episodes,episode_number,episode_location_on_page,episode_description,episode_keywords_objects,episode_keywords_agents,episode_keywords_activities,episode_keywords_concepts,episode_caption,episode_notes,painting_same_date_as_manuscript,painting_research_note,painting_sort_order_number,paintings_manuscript_detail_order,manuscript.manuscript,manuscript.manuscript_full_name,manuscript.link_to_digital_copy,canonical_story_id.canonical_story_id
1,1,TRUE,,,1,1,7,Images not publicly available as of September 2022,,https://ethiopic-manuscripts.s3.amazonaws.com/EMIP/EMIP+2370/EMIP2370_123r.jpg,1,123r,127,1,1,bottom,St Mary and Jesus Christ ride a donkey while Joseph and Salome walk on their way to Egypt,donkey; trees; mesob; walking stick; head covering; water container,Mary; Jesus Christ; Joseph; Salome,breastfeeding,,,,,,1100,5,CUA-DC (EMIP) 2370,"Ethiopian Manuscript Imaging Project, Catholic University of America, Manuscript No. 2370",,1-A
2,2,FALSE,,236,35,52,61,https://www.bl.uk/manuscripts/Viewer.aspx?ref=or_520_f243r,,,2,243r,,1,1,full,The monk standing praying in a church before the icon of the Virgin and Child with his skull-cap fallen to the ground,church; icon,Mary; Jesus Christ; monk,,,,,,,3000,53,BOr (BL) 520,"British Library, ""Orient"" Collection, Manuscript No. 520",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_520_f001r,7
3,3,FALSE,,,35,52,63,https://www.bl.uk/manuscripts/Viewer.aspx?ref=or_635_f117v,,,1,117v,,1,1,full,"The monk surrounded by the other monks, who are attacking him",church; building; stick; club; food,monk,,,,,,,3000,55,BOr (BL) 635,"British Library, ""Orient"" Collection, Manuscript No. 635",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_635_f001r,7
4,4,FALSE,,,35,52,52,https://www.bl.uk/manuscripts/Viewer.aspx?ref=or_647_f088r,,,1,88r,,1,1,bottom,"The monk surrounded by the other monks, who are attacking him",club; stick; walking stick,monk,,,,,,,3000,41,BOr (BL) 647,"British Library, ""Orient"" Collection, Manuscript No. 647",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_647_f001r,7
5,5,FALSE,,,35,52,52,https://www.bl.uk/manuscripts/Viewer.aspx?ref=or_647_f088v,,,2,88v,,1,1,full,The monk standing praying in a church before the icon of the Virgin and Child with his skull-cap fallen to the ground,church; icon; throne; monk cap,Mary; Jesus Christ; monk,,,,,,,3000,42,BOr (BL) 647,"British Library, ""Orient"" Collection, Manuscript No. 647",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_647_f001r,7
6,6,FALSE,,,35,52,42,https://www.bl.uk/manuscripts/Viewer.aspx?ref=or_649_f094v,,,1,94v,,1,1,right,The monk standing praying in a church before the icon of the Virgin and Child with his skull-cap fallen to the ground,church; icon; monk cap,Mary; Jesus Christ; monk,,,,,,,3000,39,BOr (BL) 649,"British Library, ""Orient"" Collection, Manuscript No. 649",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_649_f001r,7
7,7,FALSE,,,35,52,58,https://www.bl.uk/manuscripts/Viewer.aspx?ref=or_653_f057v,,,1,57v,,1,1,full,The other monks preventing him for eating,hat; food,monk,,,,,,,3000,51,BOr (BL) 653,"British Library, ""Orient"" Collection, Manuscript No. 653",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_653_f001r,7
8,8,FALSE,,,35,52,58,https://www.bl.uk/manuscripts/Viewer.aspx?ref=or_653_f058r,,,2,58r,,1,1,full,The monk escapes through the wall of the church,church; monk cap; head covering; handkerchief,monk,,,,,,,3000,52,BOr (BL) 653,"British Library, ""Orient"" Collection, Manuscript No. 653",http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_653_f001r,7
9,9,FALSE,,,35,52,53,https://www.vhmml.org/readingRoom/view/500205,,https://ethiopic-manuscripts.s3.amazonaws.com/EMDA/EMDA+00162/EMDA+00162_120b.jpg,1,119r,120b,2,2,right,The monk standing praying in a church before the icon of the Virgin and Child with his skull-cap fallen to the ground,church; monk cap; food,monk,,,,The monk is depicted inside the church with the hole already in the wall,,,1100,47,EMDA (HMML) 162,"Ethiopian Manuscript Digital Archive, HMML Project ID EMDA, Manuscript No. 162",https://w3id.org/vhmml/readingRoom/view/500205,7
10,9,FALSE,,,35,52,53,https://www.vhmml.org/readingRoom/view/500205,,https://ethiopic-manuscripts.s3.amazonaws.com/EMDA/EMDA+00162/EMDA+00162_120b.jpg,1,119r,120b,2,1,left,"The monk surrounded by the other monks, who are attacking him",stick; club; monk cap,monk,,,,The monk is depicted inside the church with the hole already in the wall,,,1100,47,EMDA (HMML) 162,"Ethiopian Manuscript Digital Archive, HMML Project ID EMDA, Manuscript No. 162",https://w3id.org/vhmml/readingRoom/view/500205,7
11,10,FALSE,,,35,52,38,Images not publicly available as of September 2022,,https://ethiopic-manuscripts.s3.amazonaws.com/EMIP/EMIP+1044/EMIP1044_72b.jpg,1,,72b,2,2,right,The monk standing praying in a church before the icon of the Virgin and Child with his skull-cap fallen to the ground,church; monk cap,monk,,,How our Lady Mary performed a miracle for Abba Sänusi; And those who were guarding him,The monk is depicted inside the church with the hole already in the wall.,,,1100,30,EMIP (EMIP) 1044,"Ethiopian Manuscript Imaging Project, HMML Project ID EMIP, Manuscript No. 1044",,7
12,10,FALSE,,,35,52,38,Images not publicly available as of September 2022,,https://ethiopic-manuscripts.s3.amazonaws.com/EMIP/EMIP+1044/EMIP1044_72b.jpg,1,,72b,2,1,left,"The monk surrounded by the other monks, who are attacking him",stick; club; monk cap,monk,,,How our Lady Mary performed a miracle for Abba Sänusi; And those who were guarding him,The monk is depicted inside the church with the hole already in the wall.,,,1100,30,EMIP (EMIP) 1044,"Ethiopian Manuscript Imaging Project, HMML Project ID EMIP, Manuscript No. 1044",,7
13,11,FALSE,,,35,52,43,https://w3id.org/vhmml/readingRoom/view/201918,,https://ethiopic-manuscripts.s3.amazonaws.com/EMML+Mss/EMML+76/EMML_76_071.jpg,1,35r,71,1,1,bottom-right,Abba Śalusä stands in prayer,head covering,monk,,,,,,,2000,32,EMML (HMML) 76,"Ethiopian Manuscript Microfilm Library, HMML Project ID EMML, Manuscript No. 76",https://w3id.org/vhmml/readingRoom/view/201918,7
14,12,FALSE,FALSE,,35,52,63,https://gallica.bnf.fr/ark:/12148/btv1b52504901k.r=Ethiopien%20d%27Abbadie%20114?rk=21459;2,,https://ethiopic-manuscripts.s3.amazonaws.com/BNF/d'Abbadie/114/d'Abbadie+(BNF)+114_144.jpg,1,71v,144,1,1,full,"The monk surrounded by the other monks, who are attacking him",stick; club; food,monk,,,How the monks beat and kicked Abba Śalusi; Abba Śalusi,,,,1004,42,d'Abbadie (BNF) 114,"Bibliothèque nationale de France, Ethiopien d'Abbadie Collection, Manuscript No. 114",https://gallica.bnf.fr/ark:/12148/btv1b52504901k.r=Ethiopien%20d%27Abbadie%20114?rk=21459;2,7
15,13,FALSE,TRUE,,35,52,48,Images not publicly available as of September 2022,,https://ethiopic-manuscripts.s3.amazonaws.com/Chester+Beatty+Library/CBL+914/W914_059.jpg,1,29r,59,1,1,right,"The monk surrounded by the other monks, who are attacking him",church; club; stick; food; monk cap,monk,,,,"Plate LXXXV Of Budge, Lady Meux facsimile",,,1100,17,B-Dublin (CBL) 914,"Chester Beatty Library, [Ethiopic Collection], Manuscript No. 914",,7
16,14,FALSE,,,35,52,48,Images not publicly available as of September 2022,,https://ethiopic-manuscripts.s3.amazonaws.com/Chester+Beatty+Library/CBL+914/W914_060.jpg,2,29v,60,1,1,full,The monk standing praying in a church before the icon of the Virgin and Child with his skull-cap fallen to the ground,church; throne; monk cap,Mary; Jesus Christ; monk; angel,,,,"Plate LXXXVI Of Budge, Lady Meux facsimile",,,1100,18,B-Dublin (CBL) 914,"Chester Beatty Library, [Ethiopic Collection], Manuscript No. 914",,7
17,15,FALSE,,,35,52,59,https://dpul.princeton.edu/msstreasures/catalog/12579w78f,"https://iiif-cloud.princeton.edu/iiif/2/1b%2F90%2F5a%2F1b905a32206f4f6b85d32319f99338ce%2Fintermediate_file/full/400,/0/default.jpg?t=1651501156780",,2,90r,181,1,1,full,The monk standing praying in a church before the icon of the Virgin and Child with his skull-cap fallen to the ground,church; icon; jewelry,Mary; Jesus Christ; monk,,,How he threw his skullcap,,,,1001,51,PEM (Princeton) 65,"Princeton University Library, Ethiopic Manuscripts, Manuscript No. 65",https://dpul.princeton.edu/msstreasures/catalog/12579w78f,7
